# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       1.96
2                       3.92
4                       7.87
8                      15.73
16                     31.47
32                     62.77
64                    125.64
128                   250.30
256                   490.62
512                   979.69
1024                 1958.47
2048                 3914.00
4096                 7816.86
8192                13573.09
16384               18855.13
32768               20925.25
65536               22102.63
131072              22706.48
262144              23032.08
524288              23193.55
1048576             23275.27
