# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      38.15
2                      78.50
4                     156.32
8                     314.68
16                    641.17
32                   1281.27
64                   2505.37
128                  4865.13
256                  8569.49
512                 14181.48
1024                17841.69
2048                22031.02
4096                24178.76
8192                25963.27
16384               23312.45
32768               23545.90
65536               23792.34
131072              17360.78
262144              15511.35
