# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.44
2                       2.42
4                       2.42
8                       2.42
16                      2.42
32                      2.42
64                      2.43
128                     2.46
256                     3.02
512                     3.07
1024                    3.16
2048                    3.34
4096                    3.50
8192                    5.84
16384                   6.23
32768                   7.04
65536                   8.39
131072                 11.22
262144                 16.96
524288                 28.26
1048576                50.74
