# OSU MPI Bandwidth Test v7.3
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.05
2                       4.11
4                       8.21
8                      16.43
16                     32.85
32                     65.73
64                    131.17
128                   261.01
256                   516.48
512                  1032.16
1024                 2064.33
2048                 4120.53
4096                 8223.50
8192                13993.78
16384               18900.43
32768               20924.47
65536               22099.84
131072              22709.66
262144              23035.54
524288              23195.54
1048576             23276.23
