# OSU MPI_Get Bandwidth Test v7.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                      34.78
2                      71.93
4                     143.16
8                     289.94
16                    584.01
32                   1163.38
64                   2306.54
128                  4514.49
256                  7924.24
512                 13124.95
1024                16989.73
2048                21242.72
4096                24414.80
8192                26780.94
16384               23507.69
32768               23496.44
65536               23799.79
131072              16767.18
262144              14306.99
