# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.39
2                       2.38
4                       2.37
8                       2.37
16                      2.38
32                      2.37
64                      2.39
128                     2.41
256                     2.98
512                     3.03
1024                    3.12
2048                    3.29
4096                    3.46
8192                    5.76
16384                   6.28
32768                   6.95
65536                   8.40
131072                 11.28
262144                 16.95
524288                 28.24
1048576                50.68
